"job_id","job_title","company_name","yearly_salary","job_location","job_posted_date","skills"
325402,"Senior Business & Data Analyst","Deutsche Bank","119250.0","India","2023-11-21","confluence"
908967,"Sr. Enterprise Data Analyst","ACA Group","118140.0","India","2023-12-21","sql"
908967,"Sr. Enterprise Data Analyst","ACA Group","118140.0","India","2023-12-21","azure"
908967,"Sr. Enterprise Data Analyst","ACA Group","118140.0","India","2023-12-21","excel"
908967,"Sr. Enterprise Data Analyst","ACA Group","118140.0","India","2023-12-21","power bi"
908967,"Sr. Enterprise Data Analyst","ACA Group","118140.0","India","2023-12-21","flow"
646083,"Data Analyst (Contractual Role)","Razorpay","111175.0","Bengaluru, Karnataka, India","2023-09-04","sql"
646083,"Data Analyst (Contractual Role)","Razorpay","111175.0","Bengaluru, Karnataka, India","2023-09-04","excel"
646083,"Data Analyst (Contractual Role)","Razorpay","111175.0","Bengaluru, Karnataka, India","2023-09-04","dax"
646083,"Data Analyst (Contractual Role)","Razorpay","111175.0","Bengaluru, Karnataka, India","2023-09-04","looker"
309885,"Senior Analyst , Product Revenue (Data Analyst / Analytics)","Zscaler","111175.0","Gurugram, Haryana, India","2023-02-24","snowflake"
309885,"Senior Analyst , Product Revenue (Data Analyst / Analytics)","Zscaler","111175.0","Gurugram, Haryana, India","2023-02-24","excel"
309885,"Senior Analyst , Product Revenue (Data Analyst / Analytics)","Zscaler","111175.0","Gurugram, Haryana, India","2023-02-24","tableau"
